Time,MPOS(0),DPOS(0),DRIVE_FE(0),MSPEEDF(0)
0.462,184.9693,184.96929,-4.76837e-07,0.00477
0.463,184.96929,184.96929,9.05991e-06,-0.00954
0.464,184.9693,184.96929,-5.24521e-06,0.01526
0.465,184.9693,184.96929,-6.19888e-06,-0.00286
0.466,184.9693,184.96929,-4.76837e-06,0.00334
0.467,184.96929,184.96929,-1.43051e-06,-0.01049
0.468,184.96929,184.96929,3.33786e-06,0.00143
0.469,184.96929,184.96929,9.53674e-07,0.00143
0.47,184.96929,184.96929,2.86102e-06,-0.00238
0.471,184.96929,184.96929,-1.43051e-06,0.00238
0.472,184.96929,184.96929,2.38419e-06,-0.00429
0.473,184.96929,184.96929,1.43051e-06,0.00238
0.474,184.96931,184.96929,-1.14441e-05,0.01287
0.475,184.96929,184.96929,0.0,-0.01144
0.476,184.9693,184.96929,-4.29153e-06,0.00572
0.477,184.9693,184.96929,-7.15256e-06,-0.00048
0.478,184.96929,184.96929,1.43051e-06,-0.00525
0.479,184.96929,184.96929,3.33786e-06,-0.00381
0.48,184.96929,184.96929,2.86102e-06,0.00334
0.481,184.96929,184.96929,4.29153e-06,-0.0062
0.482,184.96929,184.96929,9.53674e-06,-0.00095
0.483,184.96929,184.96929,6.19888e-06,-0.00095
0.484,184.9693,184.96929,-3.8147e-06,0.01192
0.485,184.9693,184.96929,0.0,-0.00048
0.486,184.96929,184.96929,3.8147e-06,-0.00763
0.487,184.9693,184.96929,-3.8147e-06,0.0062
0.488,184.96929,184.96929,4.76837e-07,-0.00048
0.489,184.96929,184.96929,4.76837e-07,-0.00525
0.49,184.9693,184.96929,-2.38419e-06,0.00715
0.491,184.9693,184.96929,-9.05991e-06,0.0062
